'NDB_No','FdGrp_Cd','Long_Desc','Shrt_Desc','ComName','ManufacName','Survey','Ref_desc','Refuse','SciName','N_Factor','Pro_Factor','Fat_Factor','CHO_Factor'
'23355','1300','Beef WM  round WM  top round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM RND WM TOP RND STEAK WM BNLESS WM LN WM 0in FAT WM CHOIC WM RAW','Top Round Steak WM  URMIS # 2368',,,'Connective tissue 1%',1,,6.25,,,
'23356','1300','Beef WM  round WM  top round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM RND WM TOP RND STEAK WM BNLESS WM LN WM 0in FAT WM SEL WM RAW','Top Round Steak WM  URMIS # 1553',,,'Connective tissue 2%',2,,6.25,,,
'23357','1300','Beef WM  round WM  top round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  raw','BEEF WM RND WM TOP RND RST WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM RAW','Top Round Roast',,'Y','Connective tissue 2%',2,,6.25,,,
'23358','1300','Beef WM  round WM  top round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM RND WM TOP RND RST WM BNLESS WM LN WM 0in FAT WM CHOIC WM RAW','Top Round Roast WM  URMIS # 2366',,,'Connective tissue 2%',2,,6.25,,,
'23359','1300','Beef WM  round WM  top round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM RND WM TOP RND RST WM BNLESS WM LN WM 0in FAT WM SEL WM RAW','Top Round Roast WM  URMIS # 1551',,,'Connective tissue 2%',2,,6.25,,,
'23360','1300','Beef WM  round WM  eye of round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  raw','BEEF WM RND WM EYE OF RND RST WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM RAW','Eye of Round Roast',,'Y','Connective tissue 2%',2,,6.25,,,
'23361','1300','Beef WM  round WM  eye of round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM RND WM EYE OF RND RST WM BNLESS WM LN WM 0in FAT WM CHOIC WM RAW','Eye of Round Roast WM  URMIS # 2295',,,'Connective tissue 2%',2,,6.25,,,
'23362','1300','Beef WM  round WM  eye of round roast WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  select WM  raw','BEEF WM RND WM EYE OF RND RST WM BNLESS WM LN WM 0in FAT WM SEL WM RAW','Eye of Round Roast WM  URMIS # 1480',,,'Connective tissue 2%',2,,6.25,,,
'23363','1300','Beef WM  round WM  eye of round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  all grades WM  raw','BEEF WM RND WM EYE OF RND STEAK WM BNLESS WM LN WM 0in FAT WM ALL GRDS WM RAW','Eye of Round Steak',,,'Connective tissue 2%',2,,6.25,,,
'23364','1300','Beef WM  round WM  eye of round steak WM  boneless WM  separable lean only WM  trimmed to 0in fat WM  choice WM  raw','BEEF WM RND WM EYE OF RND STEAK WM BNLESS WM LN WM 0in FAT WM CHOIC WM RAW','Eye of Round Steak WM  URMIS # 2296',,,'Connective tissue 2%',2,,6.25,,,
